Time,Language,Location,Disability,Device,"[User-location,Class-notification,Stream,Speech-to-text,Text-to-speech,Speech-to-Sign-language,Sign-language-to-speech,Subtitles,Translate,Customize-color,Image-reader,Speech-commands]"
Afternoon,Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,None,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Physical,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Physical,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Deaf,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Morning,Non-Arabic,Public,Hearing,Tablet,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
Morning,Arabic,Private,Hearing,Smart Phone,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
Evening,Arabic,Public,None,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Public,Speech,Tablet,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Afternoon,Arabic,Private,Deaf,Smart Phone,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
Afternoon,Arabic,Private,Visual,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Deaf,Smart TV,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
Afternoon,Arabic,Public,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Arabic,Public,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Non-Arabic,Private,Physical,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Morning,Arabic,Public,Blind,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Non-Arabic,Public,Deaf,Tablet,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
Evening,Arabic,Private,None,Tablet,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
Morning,Arabic,Public,None,Tablet,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Morning,Non-Arabic,Public,Hearing,Tablet,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
Morning,Arabic,Private,Physical,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
Evening,Arabic,Private,Blind,Smart Phone,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
Morning,Non-Arabic,Private,Blind,Smart Phone,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
Afternoon,Non-Arabic,Private,Blind,Smart TV,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]"
Evening,Non-Arabic,Public,Hearing,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,None,Smart Watch,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Visual,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Non-Arabic,Private,Visual,Voice Assistant,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Private,Visual,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Morning,Arabic,Private,Speech,Tablet,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Afternoon,Arabic,Private,Hearing,Smart Phone,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]"
Evening,Arabic,Private,Physical,Tablet,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Private,None,Voice Assistant,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Public,Deaf,Tablet,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
Evening,Arabic,Private,Visual,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Hearing,Smart TV,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
Morning,Non-Arabic,Public,Speech,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Visual,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Afternoon,Arabic,Public,Blind,Smart TV,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Hearing,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Non-Arabic,Public,Hearing,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Visual,Tablet,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]"
Afternoon,Arabic,Private,Physical,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Private,None,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Private,Speech,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Afternoon,Arabic,Public,Physical,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Evening,Arabic,Private,Deaf,Smart TV,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
Afternoon,Arabic,Private,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Blind,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Public,Visual,Smart TV,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
Morning,Arabic,Private,Visual,Smart TV,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
Afternoon,Arabic,Public,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Speech,Tablet,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Morning,Non-Arabic,Public,Blind,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Public,Deaf,Smart Phone,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Physical,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Afternoon,Arabic,Private,Deaf,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Non-Arabic,Private,Speech,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Morning,Arabic,Private,Physical,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,None,Smart TV,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Physical,Smart Phone,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Arabic,Private,None,Smart Phone,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Arabic,Private,Physical,Smart TV,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Physical,Voice Assistant,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Public,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Physical,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Blind,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Arabic,Public,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Blind,Smart TV,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
Afternoon,Non-Arabic,Private,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Visual,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]"
Morning,Non-Arabic,Private,Visual,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,None,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Visual,Smart Phone,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]"
Morning,Non-Arabic,Public,Physical,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Visual,Smart Phone,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1]"
Morning,Non-Arabic,Private,Speech,Smart Phone,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Blind,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Public,Physical,Tablet,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Speech,Smart TV,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Evening,Non-Arabic,Public,Deaf,Smart Phone,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
Evening,Arabic,Private,Hearing,Smart Phone,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]"
Afternoon,Arabic,Public,Blind,Smart TV,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Non-Arabic,Private,Hearing,Smart Phone,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
Evening,Non-Arabic,Public,None,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Arabic,Public,None,Smart Watch,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Deaf,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Non-Arabic,Public,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Blind,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Speech,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Blind,Smart Phone,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Blind,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Hearing,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Public,Physical,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Arabic,Private,Hearing,Tablet,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
Evening,Non-Arabic,Private,Blind,Smart Watch,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Speech,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Evening,Arabic,Public,Visual,Smart Phone,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]"
Morning,Arabic,Private,Hearing,Tablet,"[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Physical,Smart Phone,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Morning,Arabic,Public,Deaf,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Non-Arabic,Public,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Morning,Arabic,Public,Visual,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Arabic,Public,None,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Arabic,Public,Blind,Tablet,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Arabic,Private,Blind,Smart TV,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
Afternoon,Non-Arabic,Private,None,Smart Phone,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Visual,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]"
Morning,Non-Arabic,Public,Speech,Tablet,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Morning,Arabic,Public,Blind,Smart TV,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Private,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Public,None,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
Afternoon,Arabic,Private,Blind,Smart Phone,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
Morning,Arabic,Private,Physical,Smart Phone,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Speech,Smart TV,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Morning,Arabic,Private,Physical,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Arabic,Private,Blind,Smart TV,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Afternoon,Arabic,Private,Hearing,Smart Phone,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
Evening,Arabic,Public,Blind,Smart TV,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Morning,Arabic,Public,Speech,Smart Phone,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Physical,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Deaf,Tablet,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]"
Morning,Non-Arabic,Private,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,None,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Hearing,Smart TV,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
Evening,Arabic,Private,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Blind,Smart TV,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
Evening,Non-Arabic,Public,Blind,Smart Phone,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]"
Morning,Non-Arabic,Public,Physical,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Evening,Arabic,Public,Deaf,Tablet,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Physical,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Arabic,Public,Speech,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Physical,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Blind,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Public,None,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Arabic,Public,Physical,Smart Watch,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Public,Speech,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Public,Blind,Smart TV,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]"
Morning,Non-Arabic,Public,Visual,Smart Phone,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
Morning,Arabic,Private,Deaf,Tablet,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Visual,Smart TV,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Blind,Smart TV,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Hearing,Smart TV,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
Morning,Arabic,Public,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Public,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Non-Arabic,Public,Deaf,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Arabic,Private,Deaf,Smart TV,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Blind,Smart Phone,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
Afternoon,Non-Arabic,Public,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Private,Deaf,Tablet,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Speech,Smart Phone,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Visual,Voice Assistant,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Visual,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Visual,Smart TV,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,None,Smart Phone,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Blind,Smart TV,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
Afternoon,Arabic,Private,None,Smart TV,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
Evening,Non-Arabic,Public,Deaf,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Evening,Arabic,Public,Blind,Smart TV,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Arabic,Public,Speech,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Physical,Smart Phone,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
Morning,Non-Arabic,Private,Physical,Smart Watch,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Deaf,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Deaf,Tablet,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
Evening,Non-Arabic,Private,None,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Public,Blind,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Arabic,Public,Speech,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Speech,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Hearing,Tablet,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1]"
Morning,Arabic,Public,Hearing,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Morning,Arabic,Private,Deaf,Smart Watch,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Hearing,Smart Phone,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
Evening,Non-Arabic,Public,Hearing,Voice Assistant,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Private,Blind,Smart Phone,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Non-Arabic,Public,Blind,Smart Phone,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
Morning,Arabic,Public,Visual,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Physical,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Private,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Arabic,Public,Hearing,Smart Phone,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]"
Evening,Arabic,Public,Physical,Smart Watch,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Private,Hearing,Smart Phone,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Public,None,Smart TV,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Private,Blind,Smart Watch,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Non-Arabic,Public,Visual,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]"
Evening,Arabic,Public,None,Voice Assistant,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evening,Arabic,Public,Hearing,Smart Phone,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]"
Afternoon,Arabic,Public,None,Smart TV,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
Evening,Arabic,Private,Speech,Smart Phone,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Evening,Arabic,Public,Physical,Tablet,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Visual,Smart Watch,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Speech,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Speech,Smart TV,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Hearing,Voice Assistant,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Physical,Tablet,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Morning,Arabic,Private,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Public,Blind,Smart Phone,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
Evening,Arabic,Public,Hearing,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Afternoon,Arabic,Public,Physical,Smart Watch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Speech,Voice Assistant,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Morning,Arabic,Public,Blind,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Afternoon,Non-Arabic,Private,Hearing,Voice Assistant,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
Morning,Non-Arabic,Public,None,Smart TV,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
Afternoon,Non-Arabic,Public,Visual,Voice Assistant,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Arabic,Public,Deaf,Voice Assistant,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Morning,Non-Arabic,Private,Speech,Smart Phone,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
Morning,Non-Arabic,Public,Visual,Smart TV,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evening,Non-Arabic,Private,Deaf,Voice Assistant,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
